"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007005","mitochondrion organization","303/5939","452/18986",0.670353982300885,2.14301072705247,16.5936366630005,3.2959167359958e-56,2.08466733551734e-52,1.48455028561327e-52,"57835/56907/729515/55863/84895/100303755/79810/5428/83943/55572/91419/79145/10928/26515/54471/4205/538/25875/140823/440574/54974/126328/26520/4832/26355/57143/4718/2876/4694/285521/10367/4696/27429/4725/4705/51295/4702/4717/27069/51103/79594/4709/25994/84233/54968/90871/29928/4724/665/6548/23287/28976/6832/10730/90550/54543/578/23788/10452/790955/4707/4695/131474/55744/55750/4720/6341/192111/55967/81554/57805/374291/6834/93974/7417/56993/51079/51537/4580/291/4704/9997/7019/6742/22906/4976/91137/29090/4719/51024/9167/2021/54708/125170/84987/8878/4714/4700/23787/5018/55471/125988/55245/4711/4713/4698/25880/4716/3954/10651/6901/51566/79135/4712/9868/56652/54539/4722/1346/9804/29078/6773/7037/25915/55486/23761/55735/4710/4715/84273/7386/9927/92609/10059/137682/9093/10449/572/345778/139322/23408/115209/28958/9361/79064/25813/4728/81892/9131/84883/55210/10463/2932/282991/389203/90639/617/3028/26073/54978/56181/100131801/4170/4706/4000/54927/10989/192286/5339/3099/10087/8192/2395/401505/84300/246269/493753/10105/7957/6687/596/56947/10572/79568/91647/1347/4534/87178/8834/79784/90580/54832/55737/5830/1267/81858/23277/116228/10000/80224/57001/10060/4358/154791/54902/54332/10075/30968/6240/4137/84303/292/51241/3320/1291/3433/3329/23259/55669/10493/664/55156/55288/84795/124997/10899/64423/51204/5245/89941/3155/2631/5516/139341/487/26519/5138/55022/11331/5716/815/10063/2931/293/10939/3799/2810/117145/581/83667/598/6622/80025/23230/513/55187/858/26517/207/64422/51571/5864/50484/79133/8934/5898/91942/6648/1191/3308/64083/400916/90624/57226/2055/4846/1890/5819/1678/5910/5566/142/8996/11315/1634/4082/637/51142/3303/2730/54949/26521/29108/3313/8546/79017/10935/5071/64756/51287/55154/2729/3980",303
"GO:0009117","nucleotide metabolic process","325/5939","500/18986",0.65,2.0779424145479,16.4803230572883,1.51903993582484e-55,4.80396379704606e-52,3.42103783441816e-52,"83666/11182/4621/84676/5663/55312/1723/84277/527/55526/126328/4832/978/4718/4694/4696/706/4725/4705/4731/4702/4717/84833/516/4701/4709/4882/4724/9556/10632/790955/4707/4695/4624/4720/521/6392/55967/1353/4723/374291/93974/51079/139596/4704/5208/100/4729/4976/4719/51024/23583/952/4831/509/4714/4700/57521/6391/4711/4625/4713/3948/539/4698/4716/6901/957/4726/4712/83440/51422/54539/4722/6470/54963/4710/4715/10476/3643/2617/27109/522/129607/4907/10059/514/3945/4967/572/5143/64802/9414/4728/23530/498/515/9615/1739/10165/270/506/9497/26330/4706/7374/1716/5091/3099/10845/1633/108/84875/3098/9567/201163/6389/5631/4522/55739/64223/2475/5740/6774/9551/7084/1854/204/5150/2766/1267/22978/10060/405/3615/25819/6390/30968/6240/115/2232/5213/9563/4837/7086/221937/481/51715/197258/5141/8505/1291/205/5571/83549/5214/526/25824/79631/349565/55669/2023/2821/790/5144/5563/51181/10135/5562/9061/89/8623/5515/28964/51292/477/1728/523/4626/9555/27231/1503/168537/23729/26258/5106/272/6818/7167/8473/5315/3735/5138/55022/7415/83594/55270/5313/133686/5211/4191/3704/3417/5223/3418/4200/6521/1841/51071/10840/160428/6714/9060/55753/513/9759/56474/2820/132/32/2982/53632/2584/10606/6817/23433/7371/2773/50484/8573/23171/2983/7372/3614/5167/79077/4846/1890/5209/2977/2539/55191/195827/2618/102157402/22934/5232/3312/115024/402/131870/2987/6888/80308/4830/5901/5226/4354/84836/54981/351/122622/5566/142/3692/11165/5224/5230/84618/11164/271/29789/3094/3939/11315/8833/318/3251/158/3303/57103/2027/128240/50808/53343/203/5635/230/471/25939/4622/25961/51251/8226/51727/353/5636/23475/23098/11163/93100/30833/3620/5207/226/2597/8654/669/7114/10380/4860/64080/6120/4190/5236/5471/25796/2819/25996/10591/7345/5198/4199/1806/2026",325
"GO:0006091","generation of precursor metabolites and energy","319/5939","490/18986",0.651020408163265,2.0812044905519,16.3596348008574,9.38739499281036e-55,1.97917577765085e-51,1.40942677804335e-51,"3658/205251/27158/11182/84676/5663/10873/84277/83943/92014/1345/538/55526/126328/80219/4718/4694/9821/23130/4696/4725/4705/4731/1738/3158/4702/4717/4697/27069/51103/4701/4709/4724/10632/27089/1337/790955/4707/4695/23479/131474/4720/521/6392/55967/4723/1329/38/374291/6834/93974/51079/291/8987/4704/9997/1339/5208/79736/1327/4729/1351/4719/9167/55847/509/4714/4700/5018/7388/57521/6391/4711/4713/29796/539/4698/1537/5836/93058/34/4716/1743/7385/3421/6901/4726/847/4712/83440/7381/51422/54539/2108/4722/1346/2109/4710/4715/10476/7386/9927/3643/3572/9377/522/3420/378884/514/4967/2271/1349/4728/388753/23530/54205/2673/498/1350/112812/84883/515/2932/1737/1340/10165/506/56181/26330/4706/1716/5339/5019/3099/89801/37/2395/84300/7384/246269/10105/2235/7957/3098/8803/201163/6389/3052/10580/1347/7360/87178/5160/64223/2475/8802/2997/6774/9551/10060/10131/405/112464/6390/387/30968/5162/2232/5213/11152/9563/7086/26100/3667/8604/221937/137872/5507/1291/205/5571/2110/10728/5214/79611/5447/2023/2821/5563/9945/664/5837/5562/89/5501/9852/5261/5515/28964/79660/51763/2647/3155/113829/55829/2631/55062/9555/55102/5506/9140/3419/23729/5502/7167/8473/5290/6472/5315/57017/55022/11331/7415/10063/79085/2931/5313/50/5211/4191/3417/6622/5223/3418/6521/80025/8801/5256/51071/10840/160428/6714/55753/513/9759/2820/32/221395/1312/53632/10007/5260/2584/2230/207/64422/178/5509/3481/5500/6648/23410/5504/400916/90624/5257/5167/10954/5209/2548/2539/5255/195827/22934/5232/402/5834/1431/6888/5499/5226/205327/351/5566/3692/48/5224/5230/65985/3939/11315/637/158/51142/54949/9370/57103/2027/230/208/3416/5207/226/2597/144363/669/79178/2992/10975/64080/6120/2632/4190/5236/25796/2819/7345/2026/1534",319
"GO:0140053","mitochondrial gene expression","149/5939","169/18986",0.881656804733728,2.81851087635537,16.0210396377406,5.42440076031736e-54,8.57733370225183e-51,6.10816075089421e-51,"10922/2309/51335/79675/9617/122704/26164/51001/9692/5442/25821/55005/55157/64968/51258/51250/51023/9553/51263/51106/116540/64983/64216/54948/51021/55168/26024/64960/51116/6832/60488/51373/7818/55173/51081/55006/10573/124995/219402/81554/23107/54460/10352/55037/64951/29088/64432/51067/60493/90480/78988/26995/64975/28977/55149/84881/51073/7019/9801/56945/79736/740/28973/10240/84311/57129/51649/64963/65993/64928/10128/63931/11222/5018/51069/22868/51318/51264/9238/128308/63875/64969/6150/79590/54148/116541/56652/64949/28998/118487/51650/7284/23395/65080/10102/4528/60528/2617/65008/29093/51253/54534/28958/54931/65005/54516/10884/55052/708/84545/54938/6183/64978/28957/3028/80222/124454/84300/115416/5188/65003/51654/80324/26589/84340/64976/57038/55278/87178/219927/57505/3035/85476/29074/6182/283459/5562/51204/55699/51642/6472/90806/57570/51095/130916/3396/64981/64965/400916",149
"GO:0048193","Golgi vesicle transport","227/5939","308/18986",0.737012987012987,2.35610853197989,16.1886730947627,1.46404867635933e-53,1.85202157559455e-50,1.31887669181928e-50,"56907/65258/51026/11014/10079/50807/29097/10945/51124/7109/79585/9648/60561/55770/9570/9980/288/10282/29886/6248/1523/738/122553/9341/10749/3996/163882/7405/10890/90522/90196/2181/80006/51594/8452/55014/10067/10399/57020/81562/10113/3875/10959/22878/9218/128637/3916/10133/55850/381/9217/5537/10134/54832/27032/9522/1315/142685/134957/51290/375056/55207/9950/23299/10427/6811/10490/22796/4905/1314/6293/662/3064/51399/51112/9554/80230/222068/63971/80262/84342/23062/149371/1453/9276/89866/57511/83548/22820/6836/60684/83696/160/57222/25839/10484/23233/2801/10897/5584/10640/9321/9527/23256/23041/29959/8943/9919/9382/51693/5870/2060/126003/8729/28952/55062/2803/64145/8615/54520/51125/81555/3998/91949/10791/10466/6845/81876/10972/164/51479/11345/10066/11196/5861/8775/55297/6399/22872/11070/4253/150684/6892/58485/10652/11316/372/83871/286/23499/8774/7415/55763/9135/84364/55973/23163/57120/55204/50999/26088/1785/1176/23230/22818/8613/26958/11079/57410/9183/56681/6643/10016/6272/8773/10525/378/399687/8724/143187/6711/6642/10564/6396/9179/64083/5587/1445/84272/6683/54732/10960/9907/26984/553115/53916/4430/286451/53407/5034/377/5876/10342/60412/6844/5877/51128/29934/403/9632/10483/9581/11018/27095/51552/51614/51226/30845/5872/6102/5875/2580/10434/83452/29098/9871/4218",227
"GO:0006163","purine nucleotide metabolic process","287/5939","440/18986",0.652272727272727,2.0852079474659,15.5389191967685,1.48069032311992e-49,1.56089438228892e-46,1.11155682326845e-46,"83666/11182/4621/84676/5663/84277/527/55526/126328/4832/4718/4694/4696/706/4725/4705/4731/4702/4717/84833/516/4701/4709/4882/4724/9556/10632/790955/4707/4695/4624/4720/521/6392/55967/1353/4723/374291/93974/51079/4704/5208/100/4729/4976/4719/51024/952/4831/509/4714/4700/57521/6391/4711/4625/4713/3948/539/4698/4716/6901/4726/4712/83440/51422/54539/4722/4710/4715/10476/3643/27109/522/4907/10059/514/3945/4967/572/5143/64802/9414/4728/23530/498/515/9615/1739/10165/270/506/9497/26330/4706/1716/5091/3099/10845/1633/108/84875/3098/9567/201163/6389/5631/4522/55739/64223/2475/5740/6774/9551/204/5150/2766/22978/10060/405/3615/25819/6390/30968/115/2232/5213/9563/4837/7086/221937/481/51715/5141/8505/1291/205/5571/5214/526/25824/79631/349565/55669/2023/2821/5144/5563/51181/10135/5562/9061/89/5515/28964/51292/477/1728/523/4626/9555/27231/168537/23729/26258/5106/272/6818/7167/8473/5315/5138/55022/7415/83594/55270/5313/133686/5211/4191/3704/3417/5223/3418/4200/6521/51071/10840/160428/6714/9060/55753/513/9759/2820/132/32/2982/53632/2584/10606/6817/23433/2773/8573/23171/2983/3614/5167/4846/5209/2977/2539/55191/195827/2618/22934/5232/3312/402/131870/2987/6888/4830/5901/5226/4354/84836/54981/351/122622/5566/142/3692/11165/5224/5230/84618/11164/271/29789/3094/3939/8833/318/3251/158/3303/57103/2027/50808/53343/203/5635/230/471/25939/4622/25961/353/5636/23475/23098/11163/93100/30833/3620/5207/226/2597/8654/669/7114/10380/4860/64080/6120/4190/5236/5471/25796/2819/10591/7345/5198/4199/2026",287
"GO:0032543","mitochondrial translation","121/5939","131/18986",0.923664122137405,2.95280131720841,15.1316773031135,2.72255227735735e-49,2.46002045061217e-46,1.75184980373114e-46,"51335/9617/122704/26164/55005/55157/64968/51258/51023/9553/51263/116540/64983/54948/51021/55168/26024/64960/51116/60488/51373/7818/55173/51081/10573/124995/219402/81554/23107/54460/10352/55037/64951/29088/64432/51067/90480/78988/26995/64975/28977/84881/51073/9801/56945/740/28973/10240/84311/57129/51649/64963/65993/64928/10128/63931/11222/5018/51069/22868/51318/51264/128308/63875/64969/6150/79590/54148/116541/64949/28998/118487/51650/7284/23395/65080/10102/4528/2617/65008/29093/51253/54534/28958/54931/65005/54516/10884/55052/708/84545/54938/6183/64978/28957/80222/124454/84300/115416/5188/65003/51654/26589/84340/64976/57038/55278/219927/57505/3035/85476/29074/6182/283459/51204/55699/51642/6472/3396/64981/64965",121
"GO:0016236","macroautophagy","253/5939","372/18986",0.68010752688172,2.17419119470893,15.4311064284693,8.24723631965729e-49,6.52047121522904e-46,4.64341108050178e-46,"93343/56893/165324/6048/203228/5663/57724/140775/143686/2081/527/8678/57674/128077/55335/9821/7416/23130/27429/706/79594/81671/665/9776/79137/1509/54543/65082/192111/93974/291/8987/30849/25934/488/8878/9538/5862/6901/7249/7879/535/154/55486/7248/9927/10059/643246/7405/23274/9559/64601/55054/22954/51028/1457/11267/5289/26073/29979/80279/83460/254122/7189/3099/9550/55014/23770/25782/7957/23376/84557/285636/53349/80700/10273/51375/10133/4534/79443/2475/55072/8897/54832/55737/5830/91452/27183/112936/5868/65992/100287932/55207/29110/10490/9779/137492/10075/9531/10013/3064/11152/292/8517/26100/987/9554/51715/29978/84313/9474/10533/7251/149371/54463/10241/51382/25851/51368/526/9114/5563/664/27244/823/60673/55048/124997/11140/60592/10015/6829/8508/23256/22930/8396/340371/1459/79643/523/2631/55062/55102/23367/81876/51510/9637/9140/11345/139341/5861/27243/23557/529/10919/79065/8473/10254/5290/115201/1947/57132/528/6009/137886/51569/23265/23241/11331/7415/55763/51160/4734/11337/2931/23111/23192/112574/83667/79837/51506/6714/26353/10043/1965/10558/223082/8027/2017/1020/9373/162427/29082/91782/5119/55187/550/207/340061/9342/64419/51100/64422/143187/2773/9146/90678/27131/58533/5305/3920/25978/9179/79876/5599/55432/9907/6885/51652/2548/826/5899/51534/9525/55968/25989/51606/7319/8673/57154/25793/60412/3162/79720/64771/5566/1634/128866/23673/57103/440026/5595/534/10434/80208/8723/83452/2597/5071/5049/84932/836/7345",253
"GO:1901293","nucleoside phosphate biosynthetic process","224/5939","321/18986",0.697819314641745,2.23081284859205,15.0050405186213,3.21946231933981e-46,2.26256657442492e-43,1.61123734087194e-43,"23181/83666/5165/55312/1723/84277/55907/25874/527/126328/4832/978/4718/4694/2180/201562/10295/4696/84532/4725/4705/4731/1738/4702/4717/80146/5166/84833/516/4701/4709/11001/4882/4724/9556/10632/790955/4707/4695/4720/521/6392/55967/1353/4723/38/374291/93974/53354/51079/139596/4704/100/4729/4719/4831/509/197322/4714/4700/5163/6391/4711/4713/109703458/3948/539/4698/4716/6901/4726/4712/4594/51422/54539/4722/6470/54963/4710/4715/10476/2617/27109/522/129607/514/64802/4728/2673/498/515/2181/1737/10165/270/79877/506/9497/23417/4706/1716/5538/8050/1633/108/5164/84875/3098/6389/5631/23305/4522/2639/55739/7360/9524/5160/51144/5740/9551/7084/1854/204/3615/6390/30968/6240/115/5162/4837/197258/205/91373/31/83549/7358/349565/2023/2821/790/9945/55902/10135/2182/9061/29926/54187/55577/29925/523/27231/1503/8790/272/84869/4351/3735/5238/55022/7415/83594/133686/2194/9200/6622/80025/1841/80347/7264/9060/513/56474/132/32/2982/10007/10606/64841/7371/50484/11332/2983/7372/3614/4846/64834/2977/55191/2618/102157402/55229/5373/10020/2987/80308/4830/47/54981/6675/122622/142/271/8833/318/3251/158/79717/50808/203/5635/471/51727/353/5636/23475/93100/3620/226/60490/7114/4860/5471/5198/4199",224
"GO:0019693","ribose phosphate metabolic process","246/5939","376/18986",0.654255319148936,2.09154596554331,14.4234580871653,6.38859791784621e-43,4.04078818303773e-40,2.8775589989962e-40,"11182/4621/84676/5663/55312/1723/84277/527/55526/126328/4832/978/4718/4694/4696/706/4725/4705/4731/4702/4717/84833/516/4701/4709/4882/4724/9556/10632/790955/4707/4695/4624/4720/521/6392/55967/1353/4723/374291/93974/51079/139596/4704/5208/100/4729/4976/4719/51024/4831/509/256281/4714/4700/57521/6391/4711/4625/4713/3948/539/4698/5836/4716/6901/957/4726/4712/83440/51422/54539/4722/54963/4710/4715/10476/3643/27109/522/4907/10059/514/4967/572/5143/64802/9414/4728/498/515/9615/1739/10165/270/506/26330/4706/3099/10845/1633/108/3098/9567/201163/6389/5631/4522/64223/2475/6774/9551/204/5150/22978/10060/405/3615/6390/30968/115/5213/221937/481/51715/5141/8505/1291/205/5571/83549/5214/526/79631/55669/2023/2821/790/5144/5563/5562/9061/89/5515/28964/51292/477/523/4626/1503/168537/26258/272/6818/7167/8473/5315/5138/55022/7415/5313/5211/3704/5223/6521/6714/9060/55753/513/9759/56474/132/2982/53632/2584/10606/6817/23433/7371/2773/8573/2983/7372/3614/5167/5209/2977/2539/195827/2618/5232/3312/402/2987/4830/5901/4354/84836/351/122622/5566/142/3692/11165/5224/5230/84618/11164/271/29789/3094/3939/8833/318/3251/158/3303/57103/2027/50808/53343/203/5635/230/471/4622/51727/353/5636/11163/30833/5207/226/2597/8654/669/7114/10380/4860/5236/5471/2819/7345/5198/1806/2026",246
