"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72766","Translation","275/4365","292/11146",0.941780821917808,2.40483139544007,19.5166830702563,2.35134934927993e-91,3.74334816405366e-88,2.20036797001038e-88,"122704/23471/6235/55157/64968/51258/51023/9553/23480/51263/116540/64983/54948/51021/55168/64960/51116/60488/51373/7818/55173/51081/10573/124995/219402/23107/54460/10352/55037/79731/64951/29088/64432/51067/90480/78988/64975/28977/51073/9801/56945/28972/740/28973/23438/10240/57129/51649/64963/65993/64928/63931/11222/5018/51069/51318/51264/128308/63875/8894/6210/64969/6150/6168/79590/54148/1968/25973/92399/23478/116541/64949/28998/118487/51650/7284/23395/65080/10102/6727/4528/92935/2617/10667/65008/29093/6123/123263/51253/8667/54534/9669/65005/54516/10884/55052/6728/8666/8662/84545/54938/6183/8893/1936/4736/1975/8668/51386/6205/6159/1937/79587/64978/28957/3646/10952/80222/124454/57176/8663/8664/2193/6142/6218/9521/6203/65003/1933/26589/10480/6730/84340/6139/6231/64976/57038/6138/219927/6207/4141/6130/6166/6747/1981/6188/7407/6129/6194/8661/6136/1964/57505/6224/6158/6729/6191/6204/6122/6233/3035/85476/6147/6234/29927/6141/6209/6187/27335/29074/6201/6202/6152/23521/6182/51065/6208/6156/6161/6228/6897/6301/8665/5859/6125/9045/1915/6232/1615/6230/6222/6181/6223/6164/6143/6137/6189/51520/6193/6217/8669/5917/8565/6135/6229/6734/8890/23708/6160/6748/6155/55699/1983/51642/6124/6146/26284/58477/6726/2058/9349/6175/8891/6132/833/6185/9255/9789/3735/3376/6745/6184/6128/6176/27068/6144/1650/7458/1965/6731/51504/2935/60559/25873/6134/3921/3396/7965/6154/64981/64965/6206/1974/1977/1938/6157/10056/26986/1917/16/6227/1973/1967/2197/6169/1978/6165/11224/8892/5464/6192/4677/29104/2107/7453/327",275
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4365","260/11146",0.823076923076923,2.10172173759803,14.4214761354083,2.91937589643238e-47,2.32382321356017e-44,1.36596061680441e-44,"5165/55863/10873/100303755/152100/55572/1345/25874/126328/80219/119559/4718/4694/285521/7416/4696/4725/4705/4731/51295/1738/4702/4717/5166/4697/84833/1355/51103/10048/516/51660/4701/4709/25994/84233/90871/100996939/4724/9556/10632/27089/7352/28976/1337/790955/64795/4707/4695/23479/55744/4720/6341/192111/521/6392/55967/1353/4723/1329/38/374291/6834/25953/51079/291/4704/9997/1339/1327/4729/1351/29090/4719/9167/509/84987/4714/4700/5018/55471/7388/55245/5163/6391/4711/4713/29796/3948/539/4698/1537/25880/93058/4716/1743/3954/7385/3421/4726/4712/728294/7381/54539/2108/4722/1346/29078/2109/25915/4710/4715/10476/9054/7386/9377/27109/522/3420/514/80775/3945/137682/4967/2271/1349/28958/79064/4728/23530/54205/498/1350/8402/55066/515/389203/54704/90639/1737/1340/10165/506/617/100131801/4706/192286/25852/5091/8050/2395/10296/84300/7384/5164/493753/51300/8803/6389/3052/1347/5160/8802/9551/116228/80224/57001/6233/10131/54902/6390/5162/54994/79944/81889/8604/137872/51241/57128/80232/2110/51204/3029/3419/5315/10063/5313/50/4191/122961/3418/4200/8801/513/2739/81689/79133/91942/23410/90624/57226/1431/3939/2875/150274/160287/54949/3313/92483/2954/10975/4190/2806/2805/4199",214
"R-HSA-611105","Respiratory electron transport","136/4365","158/11146",0.860759493670886,2.1979439442052,12.1672099708509,1.34526474551553e-34,7.13887158286908e-32,4.196281960573e-32,"55863/100303755/152100/55572/1345/126328/80219/119559/4718/4694/285521/4696/4725/4705/4731/51295/4702/4717/4697/1355/51103/4701/4709/25994/84233/90871/100996939/4724/27089/28976/1337/790955/4707/4695/23479/55744/4720/6341/6392/55967/1353/4723/1329/374291/6834/25953/51079/4704/9997/1339/1327/4729/1351/29090/4719/9167/84987/4714/4700/5018/55471/7388/55245/6391/4711/4713/29796/4698/1537/25880/93058/4716/3954/7385/4726/4712/7381/54539/2108/4722/1346/29078/2109/25915/4710/4715/9054/7386/9377/80775/137682/1349/28958/79064/4728/54205/1350/8402/389203/90639/1340/10165/617/100131801/4706/192286/2395/84300/7384/493753/51300/6389/3052/1347/116228/80224/10131/54902/6390/8604/51241/57128/2110/51204/10063/4191/79133/91942/90624/57226/150274/3313/10975/4190/2806/2805",136
"R-HSA-168255","Influenza Infection","135/4365","157/11146",0.859872611464968,2.19567929607985,12.1051656549806,3.01072247908541e-34,1.19826754667599e-31,7.04350601028138e-32,"5439/55706/9972/6235/23225/5430/79902/23511/81929/4928/55746/6210/129401/6168/7175/23279/57122/23636/5431/5432/9631/6123/8106/5434/53371/4736/6205/23165/6159/5903/9688/6142/6218/6203/8021/2963/5436/6139/6231/821/4927/6138/2962/8086/6207/6130/6166/6188/6129/6194/6136/6224/6158/6191/6204/6122/6233/6147/6234/6141/6209/6187/6201/6202/6152/23521/79023/51065/3320/6208/6156/6161/6228/5611/6125/9045/6232/2926/3837/6230/6222/6181/6223/6164/6143/6137/6189/3841/3840/8480/6193/6217/5610/6135/6229/1213/6160/6155/6124/6146/9349/6175/6132/811/3843/3836/293/6128/6176/6144/5433/1211/25873/6134/3839/3921/6154/6206/5441/6157/6396/6227/7514/348995/5438/2197/5901/142/5437/6169/3303/6165/11224/9636/6192",135
"R-HSA-5368287","Mitochondrial translation","90/4365","93/11146",0.967741935483871,2.47112293537302,11.4297213811434,3.96591720599707e-33,1.26274803838947e-30,7.42252714975031e-31,"122704/64968/51258/51023/9553/51263/116540/64983/54948/51021/55168/64960/51116/60488/51373/7818/55173/51081/10573/124995/219402/23107/54460/55037/64951/29088/64432/90480/78988/64975/28977/51073/9801/56945/740/28973/10240/57129/51649/64963/65993/64928/63931/11222/5018/51069/51318/51264/128308/63875/64969/6150/79590/54148/92399/116541/64949/28998/118487/51650/7284/65080/10102/4528/65008/29093/123263/51253/54534/65005/54516/10884/55052/84545/6183/64978/28957/65003/26589/84340/64976/219927/85476/29074/6182/51642/26284/3396/64981/64965",90
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","210/4365","285/11146",0.736842105263158,1.88152167359981,12.0949981418632,4.77940549870637e-33,1.26813559232342e-30,7.45419559359643e-31,"988/84248/4236/79576/84271/9360/10465/84950/55660/24148/79171/10181/9092/57187/8563/3550/51503/5546/85313/10250/5439/10284/24144/55749/10482/83443/26097/55706/10523/22938/51362/9410/9972/84844/6631/58517/3183/5411/23517/7307/22916/79622/27339/23225/23350/27238/8175/23451/11338/5430/10084/1655/51639/4904/6629/9128/6431/6434/79869/11051/9584/3191/10189/9416/1660/6428/79902/23511/51759/11052/51747/3181/6429/81929/3192/6432/10772/6426/51593/56259/10946/84324/4928/6627/10285/8683/26121/23524/10236/55234/9130/4686/220988/23020/6430/55746/9879/129401/10262/7175/1477/4670/23279/6633/3188/55100/22827/27316/57122/23636/6625/23450/5431/2521/5432/151903/9631/55702/10992/8449/10713/8106/9785/10915/65109/11193/6636/6634/5434/53371/23165/80145/57721/5903/9688/6936/6427/6632/4809/9775/51729/8021/10212/2963/6626/5436/11017/10914/4927/10291/2962/8086/6635/7536/3187/6628/84991/11325/23398/9939/79023/9343/22826/10283/56339/7737/53981/5511/27336/53938/8480/3178/3185/10594/10921/25804/1665/3190/5093/23283/59286/11157/57819/51645/5433/4116/5094/5441/1977/51691/27258/6396/348995/7919/10450/5438/3312/51690/5437/9295/1659/55696/3184/51692/5725/22985/84321/163859/81608/8241",210
"R-HSA-72613","Eukaryotic Translation Initiation","109/4365","120/11146",0.908333333333333,2.31942344406262,11.658726482473,1.06190365261741e-32,2.11318826870865e-30,1.24214782523273e-30,"6235/8894/6210/6168/1968/6123/8667/9669/8666/8662/8893/4736/1975/8668/51386/6205/6159/3646/8663/8664/6142/6218/6203/10480/6139/6231/6138/6207/6130/6166/1981/6188/6129/6194/8661/6136/1964/6224/6158/6191/6204/6122/6233/6147/6234/6141/6209/6187/27335/6201/6202/6152/23521/51065/6208/6156/6161/6228/8665/6125/9045/6232/6230/6222/6181/6223/6164/6143/6137/6189/6193/6217/8669/6135/6229/8890/6160/6155/1983/6124/6146/9349/6175/8891/6132/6128/6176/6144/7458/1965/25873/6134/3921/6154/6206/1974/1977/6157/26986/6227/1973/1967/2197/6169/1978/6165/11224/8892/6192",109
"R-HSA-72737","Cap-dependent Translation Initiation","109/4365","120/11146",0.908333333333333,2.31942344406262,11.658726482473,1.06190365261741e-32,2.11318826870865e-30,1.24214782523273e-30,"6235/8894/6210/6168/1968/6123/8667/9669/8666/8662/8893/4736/1975/8668/51386/6205/6159/3646/8663/8664/6142/6218/6203/10480/6139/6231/6138/6207/6130/6166/1981/6188/6129/6194/8661/6136/1964/6224/6158/6191/6204/6122/6233/6147/6234/6141/6209/6187/27335/6201/6202/6152/23521/51065/6208/6156/6161/6228/8665/6125/9045/6232/6230/6222/6181/6223/6164/6143/6137/6189/6193/6217/8669/6135/6229/8890/6160/6155/1983/6124/6146/9349/6175/8891/6132/6128/6176/6144/7458/1965/25873/6134/3921/6154/6206/1974/1977/6157/26986/6227/1973/1967/2197/6169/1978/6165/11224/8892/6192",109
"R-HSA-168273","Influenza Viral RNA Transcription and Replication","119/4365","136/11146",0.875,2.23430698739977,11.6194151924894,6.8179869935192e-32,1.20602614374251e-29,7.08911162250125e-30,"5439/55706/9972/6235/23225/5430/79902/23511/81929/4928/55746/6210/129401/6168/7175/23279/57122/23636/5431/5432/9631/6123/5434/53371/4736/6205/23165/6159/5903/9688/6142/6218/6203/8021/2963/5436/6139/6231/4927/6138/2962/8086/6207/6130/6166/6188/6129/6194/6136/6224/6158/6191/6204/6122/6233/6147/6234/6141/6209/6187/6201/6202/6152/23521/79023/51065/3320/6208/6156/6161/6228/5611/6125/9045/6232/2926/6230/6222/6181/6223/6164/6143/6137/6189/8480/6193/6217/6135/6229/6160/6155/6124/6146/9349/6175/6132/3843/6128/6176/6144/5433/25873/6134/3921/6154/6206/5441/6157/6396/6227/348995/5438/2197/142/5437/6169/6165/11224/6192",119
"R-HSA-5368286","Mitochondrial translation initiation","84/4365","87/11146",0.96551724137931,2.46544219299285,11.0091978615994,9.66229378931252e-31,1.28186430938213e-28,7.53489401640248e-29,"122704/64968/51258/51023/9553/51263/116540/64983/54948/51021/55168/64960/51116/60488/51373/7818/55173/51081/10573/124995/219402/23107/54460/55037/64951/29088/64432/90480/78988/64975/28977/51073/9801/56945/740/28973/10240/57129/51649/64963/65993/64928/63931/11222/5018/51069/51318/51264/128308/63875/64969/6150/79590/54148/116541/64949/28998/118487/51650/65080/4528/65008/29093/123263/51253/54534/65005/10884/55052/84545/6183/64978/28957/65003/26589/64976/219927/29074/6182/51642/26284/3396/64981/64965",84
